title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age
Mitsubishi Outlander Roadest 7 seats 2010,Mitsubishi,Outlander,Automatic,Octane,"Tk 1,999,000",2010,"2,000 cc","82,000 km",16
Toyota Premio F 2004,Toyota,Premio,Automatic,"Octane, LPG","Tk 1,545,000",2004,"1,500 cc","81,265 km",22
Toyota Axio NON HYBRID- 4 POINT 2020,Toyota,Axio,Automatic,"Petrol, Octane","Tk 2,700,000",2020,"1,500 cc","75,351 km",6
Toyota Corolla Cross Hybrid-Z-Leather 2022,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 4,500,000",2022,"1,800 cc","10,000 km",4
Toyota Esquire GI PB Dhaka Ready 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 3,980,000",2020,"1,800 cc","46,000 km",6
Toyota Corolla Cross Hybrid Z Leather. 2022,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 4,750,000",2022,"1,800 cc","10,000 km",4
Toyota Noah X Smart Non Hybrid 2022,Toyota,Noah,Automatic,"Petrol, Octane","Tk 4,500,000",2022,"2,000 cc","98,000 km",4
Toyota Corolla Cross Z 2025,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 5,700,000",2025,"1,790 cc","12,400 km",1
Toyota Esquire GIP PKG 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 4,200,000",2020,"1,790 cc","40,035 km",6
Maxus D90 2023,Other brand,Other model,Automatic,"Hybrid, Octane","Tk 7,000,000",2023,"2,000 cc","7,500 km",3
Mitsubishi Pajero SUNROOF 2008,Mitsubishi,Pajero,Automatic,Octane,"Tk 2,750,000",2008,"3,000 cc","125,658 km",18
Toyota Noah hybrid 2019,Toyota,Noah,Automatic,"Hybrid, Octane","Tk 2,890,000",2019,"2,000 cc","52,000 km",7
Toyota Esquire GI Prm Dhaka ready 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 3,950,000",2020,"1,800 cc","71,000 km",6
Toyota Hiace 12 setter 2016,Toyota,Hiace,Automatic,Octane,"Tk 2,400,000",2016,"2,000 cc","95,000 km",10
Toyota Land Cruiser TX Prado 2009,Toyota,Land Cruiser,Automatic,Octane,"Tk 5,750,000",2009,"2,700 cc","108,500 km",17
Toyota Mark II 35Th Anniversary 2003,Toyota,Mark II,Automatic,Octane,"Tk 1,450,000",2003,"2,000 cc","72,000 km",23
Toyota Allion A15 2010,Toyota,Allion,Automatic,"Octane, LPG","Tk 2,030,000",2010,"1,500 cc","76,145 km",16
Toyota Corolla Cross Hybrid S 2021,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 3,950,000",2021,"1,800 cc",123 km,5
Toyota C-HR Hybrid S 2021,Toyota,C-HR,Automatic,"Petrol, Hybrid, Octane","Tk 3,050,000",2021,"1,800 cc","76,864 km",5
Toyota Harrier black 2000,Toyota,Harrier,Automatic,Octane,"Tk 950,000",2000,"2,400 cc","86,000 km",26
Toyota Fielder 5 Seater 2012,Toyota,Fielder,Automatic,"CNG, Octane","Tk 1,550,000",2012,"1,500 cc","75,000 km",14
Toyota Corolla Cross HY Z LEATHER MOONROF 2022,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 4,870,000",2022,"1,800 cc","36,000 km",4
